code,raison_sociale,type_personne,statut,forme_juridique,pays,ville,assujetti_tva,domicilie_sms,capital_social,valeur_nominale,nombre_part,created_at
CL1789523361,Bool Num TSEED_1755194099_3708,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 17:55:00.033669+00:00
CL1789523362,AUTO TSEED_1755194099_3708,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 17:55:00.045678+00:00
CL1789523363,CSVSEED_1755194100_7806 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.136146+00:00
CL1789523364,CSVSEED_1755194100_7806 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.149153+00:00
CL1789523365,CSVSEED_1755194100_7806 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.168259+00:00
CL1789523366,CSVSEED_1755194100_7806 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.176261+00:00
CL1789523367,CSVSEED_1755194100_7806 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.189380+00:00
CL1789523368,CSVSEED_1755194100_7806 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.197380+00:00
CL1789523369,CSVSEED_1755194100_7806 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.209889+00:00
CL1789523370,CSVSEED_1755194100_7806 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:55:00.218041+00:00
CL1789523371,Bool Num,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 17:56:08.258609+00:00
CL1789523372,CSVSEED_9411 A,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:08.732509+00:00
CL1789523373,CSVSEED_9411 B,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:08.886183+00:00
CL1789523374,CSVSEED_9411 A,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:09.559114+00:00
CL1789523375,CSVSEED_9411 B,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:09.565826+00:00
CL1789523376,CSVSEED_9411 A,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:09.969496+00:00
CL1789523377,CSVSEED_9411 B,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:09.981002+00:00
CL1789523378,CSVSEED_9411 A,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:10.394030+00:00
CL1789523379,CSVSEED_9411 B,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:56:10.401030+00:00
CL1789523380,PP Long TSEED_1755194291_3861,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 17:58:11.391163+00:00
CL1789523381,PM Long TSEED_1755194291_3861,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:58:11.407004+00:00
CL1789523382,AS Long TSEED_1755194291_3861,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 17:58:11.420535+00:00
CL1789523383,Map NC TSEED_1755194291_3861,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:58:11.432962+00:00
CL1789523384,Map EXNEX TSEED_1755194291_3861,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:58:11.446040+00:00
CL1789523385,Map EX TSEED_1755194291_3861,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 17:58:11.458537+00:00
CL1789523386,Bool Num TSEED_1755194291_3861,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 17:58:11.474455+00:00
CL1789523387,AUTO TSEED_1755194291_3861,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 17:58:11.488345+00:00
CL1789523388,CSVSEED_1755194291_2817 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.574953+00:00
CL1789523389,CSVSEED_1755194291_2817 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.592961+00:00
CL1789523390,CSVSEED_1755194291_2817 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.615624+00:00
CL1789523391,CSVSEED_1755194291_2817 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.625385+00:00
CL1789523392,CSVSEED_1755194291_2817 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.641521+00:00
CL1789523393,CSVSEED_1755194291_2817 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.650519+00:00
CL1789523394,CSVSEED_1755194291_2817 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.664356+00:00
CL1789523395,CSVSEED_1755194291_2817 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 17:58:11.672869+00:00
CL-17889523339,batata,PM,EXERCANTE,,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 17:59:28.481872+00:00
CL17889523340,PP Long TSEED_1755194431_2625,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 18:00:32.002005+00:00
CL17889523341,PM Long TSEED_1755194431_2625,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:00:32.061959+00:00
CL17889523342,AS Long TSEED_1755194431_2625,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 18:00:32.076959+00:00
CL17889523343,Map NC TSEED_1755194431_2625,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:00:32.093302+00:00
CL17889523344,Map EXNEX TSEED_1755194431_2625,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:00:32.109163+00:00
CL17889523345,Map EX TSEED_1755194431_2625,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:00:32.126162+00:00
CL17889523346,Bool Num TSEED_1755194431_2625,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 18:00:32.148678+00:00
CL17889523347,AUTO TSEED_1755194431_2625,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 18:00:32.164725+00:00
CL17889523348,CSVSEED_1755194432_7648 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.270047+00:00
CL17889523349,CSVSEED_1755194432_7648 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.286042+00:00
CL17889523350,CSVSEED_1755194432_7648 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.314454+00:00
CL17889523351,CSVSEED_1755194432_7648 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.323452+00:00
CL17889523352,CSVSEED_1755194432_7648 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.338455+00:00
CL17889523353,CSVSEED_1755194432_7648 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.346458+00:00
CL17889523354,CSVSEED_1755194432_7648 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.358235+00:00
CL17889523355,CSVSEED_1755194432_7648 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:00:32.366246+00:00
CL17889523356,PP Long TSEED_1755194550_6249,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 18:02:30.462238+00:00
CL17889523357,PM Long TSEED_1755194550_6249,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:02:30.474519+00:00
CL17889523358,AS Long TSEED_1755194550_6249,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 18:02:30.486180+00:00
CL17889523359,Map NC TSEED_1755194550_6249,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:02:30.498724+00:00
CL17889523360,Map EXNEX TSEED_1755194550_6249,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:02:30.512276+00:00
CL17889523361,Map EX TSEED_1755194550_6249,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:02:30.525785+00:00
CL17889523362,Bool Num TSEED_1755194550_6249,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 18:02:30.541808+00:00
CL17889523363,AUTO TSEED_1755194550_6249,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 18:02:30.555461+00:00
CL17889523364,CSVSEED_1755194550_2549 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:02:30.640123+00:00
CL17889523365,CSVSEED_1755194550_2549 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:02:30.651127+00:00
CL17889523366,CSVSEED_1755194550_2549 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:02:30.670555+00:00
CL17889523367,CSVSEED_1755194550_2549 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:02:30.679556+00:00
CL-178899523339,batata,PM,EXERCANTE,PP,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 18:03:31.312671+00:00
CL-1788995233399,batata,PM,EXERCANTE,PP,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 18:04:58.079416+00:00
CL-17889995233399,zaineb,PM,EXERCANTE,PP,TN,Sousse,1,0,0.000,0.000,0,2025-08-14 18:05:17.570192+00:00
CL17889995233400,PP Long TSEED_1755194737_9103,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 18:05:38.028420+00:00
CL17889995233401,PM Long TSEED_1755194737_9103,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:05:38.042753+00:00
CL17889995233402,AS Long TSEED_1755194737_9103,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 18:05:38.056352+00:00
CL17889995233403,Map NC TSEED_1755194737_9103,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:05:38.069950+00:00
CL17889995233404,Map EXNEX TSEED_1755194737_9103,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:05:38.084947+00:00
CL17889995233405,Map EX TSEED_1755194737_9103,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 18:05:38.098956+00:00
CL17889995233406,Bool Num TSEED_1755194737_9103,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 18:05:38.117934+00:00
CL17889995233407,AUTO TSEED_1755194737_9103,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 18:05:38.131933+00:00
CL17889995233408,CSVSEED_1755194738_1009 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:05:38.225898+00:00
CL17889995233409,CSVSEED_1755194738_1009 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:05:38.240908+00:00
CL17889995233410,CSVSEED_1755194738_1009 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:05:38.263181+00:00
CL17889995233411,CSVSEED_1755194738_1009 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 18:05:38.272181+00:00
CL17889995233412,PP Long TSEED_1755198615_7360,PP,NOUVELLE CREATION,PP,TN,,1,0,0.000,0.000,0,2025-08-14 19:10:15.715217+00:00
CL17889995233413,PM Long TSEED_1755198615_7360,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 19:10:15.728835+00:00
CL17889995233414,AS Long TSEED_1755198615_7360,AS,EXERCANTE,ASSOCIATION,TN,,1,0,0.000,0.000,0,2025-08-14 19:10:15.741842+00:00
CL17889995233415,Map NC TSEED_1755198615_7360,PM,NOUVELLE CREATION,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 19:10:15.755224+00:00
CL17889995233416,Map EXNEX TSEED_1755198615_7360,PM,EXISTANTE NON EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 19:10:15.769940+00:00
CL17889995233417,Map EX TSEED_1755198615_7360,PM,EXERCANTE,SUARL,TN,,1,0,0.000,0.000,0,2025-08-14 19:10:15.784257+00:00
CL17889995233418,Bool Num TSEED_1755198615_7360,PM,EXERCANTE,SUARL,FR,,0,1,1000.500,10.000,3,2025-08-14 19:10:15.801947+00:00
CL17889995233419,AUTO TSEED_1755198615_7360,PM,EXERCANTE,SUARL,TN,Tunis,1,0,0.000,0.000,0,2025-08-14 19:10:15.815770+00:00
CL17889995233420,CSVSEED_1755198615_9788 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 19:10:15.907071+00:00
CL17889995233421,CSVSEED_1755198615_9788 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 19:10:15.921189+00:00
CL17889995233422,CSVSEED_1755198615_9788 A,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 19:10:15.941328+00:00
CL17889995233423,CSVSEED_1755198615_9788 B,PM,EXERCANTE,SUARL,TN,Testville,1,0,0.000,0.000,0,2025-08-14 19:10:15.950327+00:00
CL17889995233424,Client 2,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.537930+00:00
CL17889995233425,Client 3,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.544933+00:00
CL17889995233426,Client 4,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.553410+00:00
CL17889995233427,Client 5,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.560414+00:00
CL17889995233428,Client 6,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.568629+00:00
CL17889995233429,Client 7,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.576377+00:00
CL17889995233430,Client 8,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.583640+00:00
CL17889995233431,Client 9,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.590644+00:00
CL17889995233432,Client 10,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.596877+00:00
CL17889995233433,Client 11,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.604293+00:00
CL17889995233434,Client 12,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.610616+00:00
CL17889995233435,Client 13,PM,,,TN,,0,0,0.000,0.000,0,2025-08-14 19:50:45.617449+00:00
